x,y,z,LR
-36.455223,-2.7315736,46.865257,L
-28.16039,-1.0083423,50.967857,L
-45.782425,-20.404919,60.809082,L
-49.884968,-15.845296,53.552845,L
-38.24563,-20.7326,45.69364,L
-35.815887,-18.083973,39.502766,L
-22.491306,-30.32521,66.41414,L
-28.686752,-34.426533,67.65949,L
-30.93858,-28.728155,63.568962,L
-39.192295,-27.127539,62.56013,L
-15.99283,-15.307268,64.860825,L
-12.761156,-18.454838,75.54992,L
-20.162598,-22.207565,74.90922,L
-16.137638,-30.322657,58.8183,L
-22.862871,5.527146,50.660175,L
-23.05173,-5.1444297,49.082592,L
-21.534428,-10.945286,59.097504,L
-5.861739,65.1599,8.963521,L
-6.278454,54.345245,12.948398,L
-5.8954935,63.91762,22.012646,L
-6.6959,57.02674,37.265114,L
-9.611854,45.32267,48.2964,L
-35.287235,54.51902,4.0346317,L
-28.68037,54.086815,-4.58415,L
-24.259857,52.17293,0.7064444,L
-18.074345,65.1288,2.8309112,L
-47.831966,31.207531,26.81065,L
-45.469788,30.735596,19.656467,L
-43.217457,38.902885,20.398613,L
-39.58616,47.693153,13.4864,L
-37.405937,-24.003986,16.66388,L
-35.14501,-22.840883,16.702847,L
-40.672245,-12.9929905,16.478983,L
-42.572155,-1.3264191,10.929739,L
-41.393127,10.334573,2.197231,L
-61.99713,-20.526974,24.192501,L
-60.67101,-26.780783,15.70056,L
-54.541283,-20.828327,19.324282,L
-46.226646,-22.841549,16.58747,L
-42.706318,-65.04885,33.026684,L
-39.113228,-60.064766,25.372656,L
-48.528084,-61.250885,27.307499,L
-53.198536,-55.8415,24.976257,L
-61.392994,-53.852257,22.458744,L
-33.430126,-50.423622,34.89563,L
-34.24317,-57.878777,38.748775,L
-39.91115,-57.210716,41.483116,L
-46.00437,-67.006996,44.761395,L
-6.6475387,-74.56627,38.465904,L
-16.346857,-78.19429,33.404636,L
-16.515224,-78.09053,43.446552,L
-22.313234,-79.62555,40.45501,L
-25.407187,-71.95289,27.632824,L
-5.5801687,-48.01043,60.379982,L
-4.847804,-48.239098,51.165546,L
-4.9086394,-56.496605,52.721752,L
-5.884712,-62.20805,47.72404,L
-1.8494055,13.47838,32.21162,L
-3.0731454,4.21996,30.191504,L
-1.5629447,-0.3083542,34.181194,L
-0.6848733,-14.132349,36.521423,L
-1.7528267,-26.44781,38.60165,L
-8.593613,25.725895,-23.196869,L
-12.748556,14.469411,-16.386654,L
-6.8360205,8.386756,-19.058702,L
-11.239686,-9.530495,-14.512199,L
-17.277979,-22.053558,-16.414242,L
-41.132168,-10.787426,-12.563034,L
-46.630085,3.8361263,-15.53248,L
-42.274403,-3.036779,-18.636662,L
-38.951057,5.6398416,-22.582615,L
-31.570953,6.3289957,-25.334515,L
-66.24414,-43.87133,-1.1768761,L
-61.223064,-47.02492,-10.073656,L
-65.19393,-37.502495,-9.928551,L
-68.7888,-26.20968,-15.3693695,L
-65.65462,-14.681341,-21.870745,L
-13.785815,-98.48116,-4.733661,L
-7.6071,-97.56122,-12.135667,L
-16.469675,-96.30389,-17.784937,L
-27.660778,-85.86775,-19.317959,L
-41.16682,-76.44738,-17.067192,L
-6.305293,-37.759636,4.5320487,L
-16.40806,-38.115704,3.0982635,L
-9.343218,-42.859493,0.5756432,L
-18.685064,-51.4255,-2.8805664,L
-7.6108847,-58.236626,-2.130124,L
-62.684105,1.179312,17.739508,L
-53.086525,5.5494304,13.435282,L
-52.23894,6.3931937,22.312038,L
-39.17693,5.1036563,24.98372,L
-35.63892,12.507208,27.737406,L
-38.74231,5.4117517,38.18431,L
-40.18094,13.106535,34.561848,L
-47.297684,22.494446,32.26191,L
-39.74062,30.855337,34.070957,L
-30.994747,36.47853,35.328228,L
